name	uci
King's Pawn Game	e2e4
Queen's Pawn Game	d2d4
English Opening	c2c4
Reti Opening	g1f3
Bird Opening	f2f4
Italian Game	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5
Ruy Lopez	e2e4 e7e5 g1f3 b8c6 f1b5
Scotch Game	e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4
Four Knights Game	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6
Vienna Game	e2e4 e7e5 b1c3 g8f6 f2f4
King's Gambit	e2e4 e7e5 f2f4
Philidor Defense	e2e4 e7e5 g1f3 d7d6
Petrov Defense	e2e4 e7e5 g1f3 g8f6
Sicilian Defense: Najdorf Variation	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6
Sicilian Defense: Dragon Variation	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6
Sicilian Defense: Classical Variation	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6
Sicilian Defense: Accelerated Dragon	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6
Sicilian Defense: Sveshnikov Variation	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5
French Defense: Classical Variation	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6
French Defense: Winawer Variation	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4
French Defense: Advance Variation	e2e4 e7e6 d2d4 d7d5 e4e5
Caro-Kann Defense: Classical Variation	e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5
Caro-Kann Defense: Advance Variation	e2e4 c7c6 d2d4 d7d5 e4e5 c8f5
Scandinavian Defense	e2e4 d7d5 e4d5 d8d5 b1c3 d5d8
Pirc Defense	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6
Modern Defense	e2e4 g7g6 d2d4 f8g7 b1c3 d7d6
Alekhine Defense	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6
Queen's Gambit Declined	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6
Slav Defense	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6
Queen's Gambit Accepted	d2d4 d7d5 c2c4 d5c4
London System	d2d4 d7d5 g1f3 g8f6 c1f4
Colle System	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3
Catalan Opening	d2d4 g8f6 c2c4 e7e6 g2g3
Nimzo-Indian Defense	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4
Queen's Indian Defense	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6
Bogo-Indian Defense	d2d4 g8f6 c2c4 e7e6 g1f3 f8b4
King's Indian Defense	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6
Grunfeld Defense	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5
Modern Benoni	d2d4 g8f6 c2c4 c7c5 d4d5 e7e6
Benko Gambit	d2d4 g8f6 c2c4 c7c5 d4d5 b7b5
Dutch Defense	d2d4 f7f5
Dutch Defense: Stonewall Variation	d2d4 f7f5 g2g3 g8f6 f1g2 e7e6 g1f3 d7d5
English Opening: Symmetrical Variation	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7
English Opening: Four Knights Variation	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6
Reti Opening: King's Indian Attack	g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 d2d3 f8g7
Reti Opening: Queen's Gambit Setup	g1f3 d7d5 c2c4 e7e6 d2d4 g8f6
Larsen Opening	b2b3
Polish Opening	b2b4
Grob Opening	g2g4
